Teks,Label
Saya sangat marah dengan kejadian ini!,marah
Saya sedih mendengar kabar itu.,sedih
Hari ini sangat menyenangkan!,bahagia
Saya kecewa dengan hasil ini.,kecewa
yah begitu ya,kecewa
Ribut yuk,marah
sedih banget,sedih
"Alhamdulillah, akhirnya",bahagia
kecewa gua sama lu,kecewa
waduh males deh,kecewa
"Hadeuh, males banget gua",kecewa
menutup diri dan enggan didekati,kecewa
mencari tempat sepi untuk menenangkan diri,kecewa
menjauhi dan cut off,kecewa
"diem, gamau liat dan kalo bisa gamau ketemu sama orang yg udh bikin kecewa ",kecewa
"yang kamu lakuin itu bikin kecewa orang lain. lain kali jangan diulangin lagi, nyebelin.",kecewa
kecewa berat,kecewa
Jangan buat kecewa orang lagi yaa,kecewa
Yaudah gapapa kok,kecewa
"Aku sadar manusia ngga ada yg sempurna, mungkin aku juga sering bikin kamu kecewa. Tapi aku harap kita bisa sama-sama ngerti batasan dan bertanggung jawab sama apa yang kita lakuin ",kecewa
Dahlah ga jadi,kecewa
"Astagfirullah, cukup tau deh",kecewa
Aku kecewa padamu,kecewa
Gak mau lagi dan gak ngulang lagi,kecewa
Mudah2an dia gak berbuat salah lg,kecewa
kok kamu gitu sih,kecewa
kamu mengecewakan sekali,kecewa
kamu kok gitu,kecewa
Aku cemberut,kecewa
aku kecewaa sama kamu,kecewa
kamu ngecewain aku,kecewa
Kenapa kamu melakukannya,kecewa
Udah lah besok nggak lagi,kecewa
Saya kecewa sama kamu,kecewa
Males ah ngomong  sama kamu,kecewa
"terserah, lu udah bikin gua kecewa",kecewa
Aku kecewa ,kecewa
saya kecewa sama kamu,kecewa
Sialan,kecewa
"Dongkol,Cukup tau aja",kecewa
Biasa aja ,kecewa
nyesel saya kenal kamu,kecewa
Kecewa,kecewa
Saya kecewa sama kamu ,kecewa
Menggerutu,kecewa
Aduh..gmn sih,kecewa
Dasar kutu kupret,kecewa
kok bisa sih kamu seperti itu,kecewa
Kecewa,kecewa
"oh oke, cukup tau",kecewa
"huhh, kecewa banget",kecewa
Bagaimana sih begitu aja gak bisa,kecewa
Gua kecewa Ama lu ,kecewa
Gimana sih,kecewa
kamu sadar kan kalau di kecewakan orang lain ga enak?,kecewa
saya kecewa sama kamu,kecewa
ih males,kecewa
kesel,kecewa
Sedih ,kecewa
Memberitahu bahwa kita kecewa,kecewa
"Yes, alhamdulillah akhirnya berhasil",bahagia
tersenyum,bahagia
menularkan kebahagian ke org lain,bahagia
banyak berbicara dan mengabadikan moment,bahagia
"senyum-senyum, salting",bahagia
"alhamdulillaah, waahh makasih banget yaaaa udah bikin aku bahagiaa. semoga kamu sehat dan bahagia selalu",bahagia
kitaa jalan2 yuu,bahagia
Ngomong seceria mungkin kalo aku lagi bahagia ,bahagia
Terimakasih yaa atau seneng bangettt ihh rasanya ,bahagia
"Makasih udah jadi orang yang jadi sumber bahagia di hidup aku, aku tau Allaah adil makanya Allaah kirimin kamu buat aku.",bahagia
"Iii gemes, kereeen, ",bahagia
"Alhamdulillah, seneng sekali",bahagia
Senang bersamamu,bahagia
Cerita pengalaman lama,bahagia
Bahagia bersama,bahagia
Liat orang nya dulu klo welcome saya ajak bicara,bahagia
Tidak,bahagia
makasih yah,bahagia
"Ga nomong, tp bny senyum",bahagia
akuu senengg bangettt,bahagia
Terima kasih ,bahagia
Aku sangat senang dan bersyukur,bahagia
Kamu baik deh. makacii,bahagia
Saya bahagia bertemu kamu,bahagia
Aku sayang kamu,bahagia
Terimakasih,bahagia
Senengnya aku,bahagia
saya sedang heppy,bahagia
Alhamdulillah ,bahagia
Cukup senang hari saya hari ini ,bahagia
Senang,bahagia
alhamdulillah...seneng rasanya punya teman baik kayak kamu nyesel,bahagia
Bahagia ,bahagia
Alhamdulillah ,bahagia
Baik,bahagia
Halo..gmn kbr,bahagia
War biasa ,bahagia
Bersyukur punya teman yg baik,bahagia
terimakasih,bahagia
Bahagia,bahagia
aku seneng banget hari ini,bahagia
Alhamdulillah hari ini saya lagi senang sekali .,bahagia
yeay asik,bahagia
asik hehe,bahagia
Ngajak ngopi dan bercanda ,bahagia
Alhamdulillah aku bahagia ,bahagia
"Hari ini saya lagi bahagia banget, karena kamu adalah salah satu teman yang selalu menemani saya yukk makan bareng tenang aja di traktir ko ",bahagia
Alhamdulillah,bahagia
saya suka,bahagia
saya suka saya suka,bahagia
Alhamdulillah hari ini saya lagi bahagia.,bahagia
Bahagia banget masyaAllah,bahagia
Banyak bercanda gurau,bahagia
